authors,original_publication_year,original_title,bookImage,bookDesc,bookRating,bookPages,bookGenres,language_code,original_publication_year
Bill Watterson,2005,The Complete Calvin and Hobbes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607384975l/24812._SX318_.jpg,"[ 
Box Set
 | Book One | Book Two | Book Three ]Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Composed of three hardcover, four-color volumes in a sturdy slipcase, this New York Times best-selling edition includes all Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all Calvin and Hobbes fans seek.",4.8,1456 pages,Sequential Art-Comics/891|Humor/394|Sequential Art-Graphic Novels/264|Fiction/228|Humor-Comedy/71|Classics/69|Graphic Novels Comics/57|Sequential Art-Comic Strips/50|Childrens/47|Comics-Comic Book/46,eng,2005
Francine Rivers,1993,Mark of the Lion Trilogy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349032180l/95602.jpg,"This best-selling trilogy chronicles a tale of persecution and perseverance of 1st-century Christians in hedonistic Rome.#1 A Voice in the Wind: Torn by her love for a handsome aristocrat, a young slave girl clings to her faith in the living God for deliverance from the forces of decadent Rome. #2 An Echo in the Darkness: Turning away from the opulence of Rome, Marcus is led by a whispering voice from the past into a journey that could set him free from the darkness of his soul. #3 As Sure As the Dawn: Atretes. German warrior. Revered gladiator. He won his freedom through his fierceness . . . but his life is about to change forever.",4.77,1468 pages,Christian Fiction/133|Christian/90|Historical-Historical Fiction/88|Fiction/75|Romance/28|Historical/24|Religion-Christianity/9|Biblical Fiction/8|Christian Fiction-Christian Historical Fiction/8|Religion-Faith/7,en-US,1993
Brandon Sanderson,2014,Words of Radiance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507307927l/17332218.jpg,"Words of Radiance, Book Two of the Stormlight Archive, continues the immersive fantasy epic that The Way of Kings began.Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.The Assassin, Szeth, is active again, murdering rulers all over the world of Roshar, using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar, widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough, but the Assassin's master has much deeper motives.Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow. The secrets she needs can be found at the Shattered Plains, but just arriving there proves more difficult than she could have imagined.Meanwhile, at the heart of the Shattered Plains, the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks, their numbers ever shrinking, they are convinced by their war leader, Eshonai, to risk everything on a desperate gamble with the very supernatural forces they once fled. The possible consequences for Parshendi and humans alike, indeed, for Roshar itself, are as dangerous as they are incalculable.",4.74,1087 pages,"Fantasy/9,954|Fiction/872|Fantasy-Epic Fantasy/825|Fantasy-High Fantasy/492|Audiobook/330|Fantasy-Magic/234|Science Fiction Fantasy/226|Adult/220|Epic/210|Adventure/204",eng,2014
Brandon Sanderson,2011,"The Way of Kings, Part 1",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357609842l/9329354.jpg,"SPEAK AGAIN THE ANCIENT OATHS,LIFE BEFORE DEATH.STRENGTH BEFORE WEAKNESS.JOURNEY BEFORE DESTINATION.AND RETURN TO MEN THE SHARDS THEY ONCE BORE.THE KNIGHTS RADIANT MUST STAND AGAIN.Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars are fought for them, and won by them.One such war is about to swallow up a soldier, a brightlord and a young woman scholar.Widely acclaimed for his work completing Robert Jordan’s Wheel of Time saga, Brandon Sanderson now begins a grand cycle of his own, one every bit as ambitious and immersive.",4.66,592 pages,Fantasy/650|Fiction/84|Adult/44|Fantasy-High Fantasy/41|Fantasy-Epic Fantasy/33|Audiobook/21|Fantasy-Magic/19|Science Fiction Fantasy/18|Novels/16|Epic/14,eng,2011
"Neil Gaiman, Mike Dringenberg, Chris Bachalo, Michael Zulli, Kelly Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Parkhouse, Daniel Vozzo, Lee Loughridge, Steve Oliff, Todd Klein, Dave McKean, Sam Kieth",2006,"The Absolute Sandman, Volume One",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312226853l/23753.jpg,"One of the most popular and critically acclaimed comic book titles of all time, 
New York Times
 best-selling author Neil Gaiman's masterpiece 
The Sandman
 set new standards for mature, lyrical fantasy and graphic narrative. Now, Vertigo and DC Comics are proud to present the first of four definitive Absolute Editions collecting this groundbreaking series in its entirety. 
The Absolute Sandman, Volume One
 reprints issues 1-20 of 
The Sandman
, and features all-new coloring on issues 1-18, commissioned especially for this edition. This volume also includes a full reproduction of Gaiman's original proposal for the series and the complete script and pencils by Gaiman and Charles Vess for the World Fantasy Award-winning story ""A Midsummer Night's Dream"" from The Sandman 19. Finally, a gallery of character design sketches show the evolution of Dream of the Endless.",4.65,612 pages,Sequential Art-Comics/635|Sequential Art-Graphic Novels/623|Fantasy/435|Fiction/141|Graphic Novels Comics/81|Horror/81|Comics-Comic Book/55|Fantasy-Mythology/35|Fantasy-Urban Fantasy/33|Sequential Art-Comix/15,eng,2006
Bill Watterson,1988,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422379908l/43070.jpg,"Perhaps the most brilliant comic strip ever created, Calvin and Hobbes continues to entertain with dazzling cartooning and tremendous humor.Bill Watterson's Calvin and Hobbes has been a worldwide favorite since its introduction in 1985. The strip follows the richly imaginative adventures of Calvin and his trusty tiger, Hobbes. Whether a poignant look at serious family issues or a round of time-travel (with the aid of a well-labeled cardboard box), Calvin and Hobbes will astound and delight you.Beginning with the day Hobbes sprang into Calvin's tuna fish trap, the first two Calvin and Hobbes collections, Calvin and Hobbes and Something Under The Bed Is Drooling, are brought together in this treasury. Including black-and-white dailies and color Sundays, The Essential Calvin and Hobbes also features an original full-color 16-page story.",4.64,256 pages,Sequential Art-Comics/988|Humor/781|Sequential Art-Graphic Novels/409|Fiction/321|Humor-Comedy/113|Childrens/107|Graphic Novels Comics/106|Comics-Comic Book/94|Sequential Art-Comic Strips/77|Classics/74,en-US,1988
"Alisa Kwitney, Neil Gaiman",2003,The Sandman: King of Dreams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439583183l/47697._SX318_.jpg,"The first and only comic book to receive the World Fantasy Award, The Sandman continues to break new ground in the comic book medium and beyond. Author Alisa Kwitney explores its beginnings and chronicles the comic's emergence as a unique and undeniable force in the literary world. Richly illustrated, this history shows how Gaiman and The Sandman's gifted artists, such as Dave McKean and Yoshitaka Amano, create a haunting (and haunted) main character who wields immense power. With illustrations never before published, behind-the-scenes stories, handwritten notes, and interviews with Gaiman himself, this volume is a true testament to the dream king and his creator.",4.63,180 pages,Sequential Art-Graphic Novels/103|Sequential Art-Comics/97|Fantasy/86|Fiction/22|Graphic Novels Comics/13|Horror/9|Art/9|Science Fiction Fantasy/6|Comics-Comic Book/5|Fantasy-Urban Fantasy/5,eng,2003
Bill Watterson,1989,The Calvin and Hobbes Lazy Sunday Book,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924427l/24494.jpg,"Find Sunday comic favorites in this classic Calvin and Hobbes collection.This is a collection of the classic comic strip that features Calvin, a rambunctious 6-year-old boy, and his stuffed tiger, Hobbes, who comes charmingly to life. Filled with Watterson’s full-page Sunday strips, this collection is sure to please fans and newcomers alike.",4.63,128 pages,Sequential Art-Comics/624|Humor/312|Sequential Art-Graphic Novels/120|Fiction/101|Sequential Art-Comic Strips/56|Comics-Comic Book/51|Childrens/45|Graphic Novels Comics/41|Humor-Comedy/36|Sequential Art-Cartoon/27,eng,1989
"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SY475_.jpg,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.He will have to face his enemy in one final battle.--jkrowling.com",4.62,759 pages,"Fantasy/50,011|Young Adult/16,131|Fiction/14,296|Fantasy-Magic/4,055|Childrens/2,874|Adventure/2,246|Audiobook/1,707|Childrens-Middle Grade/1,674|Classics/1,462|Science Fiction Fantasy/1,307",eng,2007
Bill Watterson,1995,The Calvin and Hobbes Tenth Anniversary Book,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429324469l/24813.jpg,"Many moons ago, the magic of Calvin and Hobbes first appeared on the funny pages and the world was introduced to a wondrous pair of friends -- a boy and his tiger, who brought new life to the comics page. To celebrate the tenth anniversary of this distinguished partnership, Bill Watterson prepared this special book, sharing his thoughts on cartooning and creating Calvin and Hobbes, illustrated throughout with favorite black-and-white and color cartoons.",4.62,208 pages,Sequential Art-Comics/784|Humor/392|Sequential Art-Graphic Novels/144|Fiction/136|Graphic Novels Comics/62|Comics-Comic Book/59|Sequential Art-Comic Strips/57|Childrens/52|Humor-Comedy/41|Sequential Art-Cartoon/30,eng,1995
